iter	RMSE
0	3670.596782
1	3345.386299
2	3048.090717
3	2774.655998
4	2529.695451
5	2315.556654
6	2122.419108
7	1951.960724
8	1795.532243
9	1660.385998
10	1538.35416
11	1433.204972
12	1336.847229
13	1248.830285
14	1173.405896
15	1106.086384
16	1044.723014
17	992.7088401
18	946.0714409
19	904.8341283
20	870.6768596
21	839.1088148
22	812.5494468
23	788.2158547
24	767.4731931
25	748.1795416
26	732.5468472
27	719.4121881
28	706.0247615
29	694.1349515
30	684.4583021
31	675.8696298
32	668.2783197
33	661.7902352
34	655.684599
35	649.9227334
36	645.1480303
37	640.6229158
38	636.7167845
39	633.1210605
40	629.4782828
41	625.9213998
42	623.5074631
43	621.1988473
44	619.0754325
45	616.8370822
46	614.9239891
47	613.3343575
48	611.1784707
49	609.6453957
50	608.08953
51	606.9328931
52	605.8513573
53	604.924714
54	603.6728554
55	602.6041631
56	601.7455263
57	600.9284094
58	600.1944545
59	599.1853161
60	598.5710815
61	597.8983369
62	597.0937997
63	596.5953238
64	596.0614181
65	594.6108148
66	593.6114591
67	592.8264244
68	592.4062533
69	591.9345692
70	591.4104328
71	590.9292768
72	590.2316392
73	589.8493309
74	589.3710891
75	589.0923933
76	588.4797122
77	587.998666
78	587.4730943
79	587.1697069
80	586.9576207
81	586.5253074
82	586.1524325
83	585.8412403
84	585.5699345
85	585.1173248
86	584.8220126
87	584.3976013
88	584.1108147
89	583.9228906
90	583.7320265
91	583.5897342
92	583.482335
93	583.2595876
94	583.1284084
95	582.7540102
96	582.5354721
97	582.3276252
98	582.1497374
99	581.9577369
100	581.6501532
101	581.3562263
102	581.2758474
103	581.0613405
104	580.7824256
105	580.6031825
106	580.3605117
107	580.1932492
108	579.869671
109	579.686491
110	579.5420574
111	579.3838116
112	579.1206771
113	578.7818021
114	578.5180446
115	578.4230868
116	578.2494103
117	578.160135
118	577.7076899
119	577.5758011
120	577.4291614
121	577.2850487
122	577.0296391
123	576.8524758
124	576.638409
125	576.4245279
126	576.2794308
127	576.1232994
128	575.9992666
129	575.8549862
130	575.7151051
131	575.5248648
132	575.3626872
133	575.2261776
134	574.9915375
135	574.8649226
136	574.7939538
137	574.6000313
138	574.3756959
139	574.2591378
140	574.0290708
141	573.7905026
142	573.6203295
143	573.3589644
144	573.2194316
145	573.099281
146	572.994668
147	572.7850149
148	572.5712145
149	572.3467725
150	572.1287915
151	572.030676
152	571.9159053
153	571.7905575
154	571.6583685
155	571.5479338
156	571.3369343
157	571.1145252
158	570.8167226
159	570.6115984
160	570.4543586
161	570.3290534
162	570.1703067
163	570.0012139
164	569.8328667
165	569.6839721
166	569.5784058
167	569.4752729
168	569.3608332
169	569.2430285
170	569.1706957
171	569.0191791
172	568.9440522
173	568.8174703
174	568.6979754
175	568.5621629
176	568.4509734
177	568.3191725
178	568.1720852
179	568.0989464
180	567.9535339
181	567.8198332
182	567.7096453
183	567.6279501
184	567.5054099
185	567.3307465
186	567.3073309
187	567.0614935
188	566.9858046
189	566.8647233
190	566.7900901
191	566.6945139
192	566.5790487
193	566.387927
194	566.2663312
195	566.1311636
196	565.9951097
197	565.8767466
198	565.7607724
199	565.6559899
