iter	Passed	Remaining
0	12	2446
1	20	2052
2	32	2139
3	41	2024
4	57	2248
5	67	2191
6	79	2193
7	89	2140
8	98	2095
9	108	2057
10	118	2030
11	126	1986
12	135	1948
13	147	1957
14	159	1962
15	169	1947
16	180	1943
17	190	1921
18	200	1907
19	212	1912
20	225	1923
21	235	1901
22	244	1884
23	255	1876
24	268	1882
25	281	1884
26	290	1861
27	301	1851
28	314	1852
29	324	1837
30	336	1832
31	349	1834
32	360	1822
33	370	1807
34	386	1821
35	399	1818
36	411	1812
37	423	1805
38	433	1789
39	443	1772
40	455	1764
41	470	1770
42	479	1751
43	489	1736
44	500	1723
45	510	1709
46	520	1695
47	530	1679
48	542	1672
49	552	1658
50	562	1642
51	571	1626
52	581	1613
53	592	1601
54	601	1586
55	615	1582
56	624	1566
57	636	1557
58	645	1542
59	655	1530
60	670	1526
61	683	1521
62	693	1508
63	705	1499
64	714	1484
65	726	1474
66	736	1461
67	750	1456
68	762	1446
69	774	1437
70	788	1432
71	800	1423
72	810	1410
73	825	1405
74	836	1394
75	846	1381
76	856	1368
77	870	1362
78	883	1353
79	896	1344
80	910	1337
81	920	1325
82	930	1311
83	945	1305
84	955	1292
85	965	1279
86	974	1266
87	986	1255
88	995	1241
89	1004	1228
90	1014	1215
91	1026	1204
92	1040	1196
93	1049	1183
94	1060	1172
95	1072	1161
96	1083	1150
97	1099	1143
98	1112	1134
99	1124	1124
100	1136	1113
101	1147	1102
102	1160	1092
103	1173	1082
104	1189	1075
105	1204	1068
106	1219	1059
107	1229	1047
108	1243	1038
109	1252	1025
110	1265	1014
111	1282	1007
112	1293	996
113	1306	985
114	1317	973
115	1327	961
116	1338	949
117	1351	938
118	1367	930
119	1380	920
120	1392	909
121	1406	898
122	1418	888
123	1430	876
124	1441	864
125	1451	852
126	1462	840
127	1474	829
128	1486	818
129	1498	807
130	1513	796
131	1528	787
132	1542	776
133	1551	764
134	1564	753
135	1578	742
136	1587	730
137	1602	719
138	1613	708
139	1628	697
140	1639	686
141	1650	674
142	1661	662
143	1673	650
144	1684	638
145	1695	627
146	1709	616
147	1723	605
148	1741	595
149	1755	585
150	1767	573
151	1779	562
152	1792	550
153	1805	539
154	1817	527
155	1828	515
156	1842	504
157	1858	494
158	1872	482
159	1883	470
160	1893	458
161	1905	447
162	1916	435
163	1927	423
164	1944	412
165	1963	402
166	1979	391
167	1993	379
168	2005	367
169	2018	356
170	2029	344
171	2040	332
172	2053	320
173	2066	308
174	2078	296
175	2090	285
176	2102	273
177	2112	261
178	2122	249
179	2133	237
180	2142	224
181	2153	213
182	2164	201
183	2174	189
184	2184	177
185	2196	165
186	2207	153
187	2218	141
188	2229	129
189	2241	117
190	2251	106
191	2263	94
192	2275	82
193	2286	70
194	2299	58
195	2310	47
196	2321	35
197	2334	23
198	2345	11
199	2356	0
