iter	Passed	Remaining
0	170	170567
1	197	98647
2	217	72236
3	237	59048
4	254	50709
5	272	45145
6	290	41175
7	313	38817
8	332	36583
9	350	34703
10	369	33223
11	388	32014
12	412	31284
13	429	30281
14	450	29610
15	470	28965
16	494	28571
17	515	28116
18	534	27595
19	551	27040
20	571	26653
21	589	26189
22	610	25917
23	630	25629
24	650	25388
25	672	25177
26	697	25138
27	721	25055
28	739	24750
29	755	24441
30	772	24158
31	789	23867
32	810	23744
33	832	23640
34	851	23488
35	869	23280
36	885	23053
37	901	22826
38	918	22621
39	937	22499
40	958	22413
41	980	22375
42	1008	22442
43	1039	22592
44	1065	22618
45	1087	22561
46	1112	22555
47	1130	22428
48	1147	22263
49	1165	22137
50	1184	22047
51	1204	21949
52	1221	21830
53	1237	21680
54	1253	21538
55	1270	21411
56	1285	21271
57	1301	21132
58	1317	21020
59	1332	20880
60	1348	20758
61	1366	20673
62	1385	20613
63	1400	20485
64	1416	20372
65	1432	20277
66	1448	20164
67	1464	20070
68	1483	20015
69	1501	19949
70	1519	19882
71	1536	19804
72	1552	19709
73	1568	19629
74	1585	19551
75	1600	19454
76	1615	19366
77	1635	19336
78	1650	19242
79	1666	19169
80	1681	19076
81	1696	18992
82	1711	18908
83	1725	18819
84	1742	18759
85	1759	18694
86	1774	18626
87	1794	18602
88	1811	18537
89	1828	18488
90	1844	18427
91	1866	18423
92	1884	18381
93	1901	18325
94	1916	18253
95	1929	18169
96	1943	18095
97	1958	18030
98	1974	17971
99	1989	17907
100	2003	17836
101	2017	17765
102	2033	17706
103	2049	17655
104	2065	17607
105	2082	17566
106	2099	17523
107	2118	17496
108	2134	17452
109	2149	17389
110	2166	17349
111	2180	17290
112	2197	17247
113	2212	17198
114	2226	17134
115	2240	17074
116	2254	17017
117	2268	16955
118	2284	16914
119	2300	16873
120	2318	16843
121	2332	16788
122	2349	16749
123	2364	16707
124	2378	16650
125	2394	16606
126	2410	16566
127	2426	16527
128	2439	16473
129	2455	16434
130	2470	16389
131	2486	16349
132	2500	16299
133	2513	16244
134	2528	16201
135	2541	16148
136	2556	16102
137	2572	16068
138	2586	16018
139	2603	15993
140	2619	15958
141	2634	15919
142	2651	15891
143	2669	15868
144	2684	15830
145	2700	15797
146	2716	15761
147	2730	15720
148	2746	15687
149	2763	15660
150	2779	15626
151	2795	15595
152	2810	15561
153	2824	15518
154	2838	15474
155	2852	15430
156	2867	15395
157	2881	15354
158	2898	15329
159	2914	15300
160	2928	15260
161	2943	15225
162	2957	15187
163	2972	15150
164	2986	15112
165	3000	15072
166	3014	15037
167	3030	15006
168	3044	14968
169	3058	14931
170	3074	14907
171	3092	14887
172	3112	14878
173	3140	14909
174	3162	14910
175	3183	14905
176	3202	14890
177	3216	14851
178	3231	14819
179	3247	14796
180	3267	14783
181	3286	14771
182	3302	14744
183	3316	14709
184	3330	14673
185	3347	14650
186	3364	14627
187	3379	14597
188	3396	14574
189	3411	14542
190	3432	14540
191	3448	14510
192	3462	14477
193	3479	14457
194	3496	14436
195	3511	14404
196	3527	14377
197	3544	14355
198	3558	14324
199	3574	14297
200	3591	14274
201	3605	14244
202	3620	14215
203	3635	14185
204	3653	14166
205	3667	14137
206	3686	14122
207	3701	14094
208	3716	14065
209	3731	14036
210	3745	14005
211	3762	13983
212	3777	13955
213	3794	13935
214	3808	13904
215	3824	13881
216	3839	13852
217	3854	13825
218	3882	13847
219	3905	13845
220	3926	13839
221	3951	13849
222	3975	13852
223	3999	13855
224	4017	13839
225	4047	13860
226	4068	13854
227	4089	13846
228	4108	13832
229	4134	13842
230	4155	13832
231	4180	13838
232	4227	13915
233	4261	13949
234	4299	13996
235	4320	13986
236	4336	13960
237	4354	13942
238	4373	13927
239	4389	13901
240	4450	14017
241	4484	14047
242	4518	14076
243	4543	14077
244	4567	14074
245	4607	14120
246	4636	14135
247	4668	14155
248	4683	14126
249	4702	14107
250	4733	14124
251	4752	14105
252	4767	14077
253	4783	14049
254	4798	14019
255	4813	13988
256	4828	13959
257	4844	13931
258	4859	13902
259	4874	13874
260	4893	13855
261	4908	13826
262	4935	13831
263	4953	13809
264	4973	13793
265	4995	13783
266	5015	13770
267	5036	13757
268	5055	13736
269	5074	13720
270	5089	13690
271	5104	13661
272	5127	13655
273	5145	13633
274	5160	13605
275	5177	13582
276	5197	13565
277	5214	13541
278	5233	13525
279	5254	13511
280	5273	13493
281	5292	13474
282	5311	13455
283	5327	13432
284	5342	13402
285	5357	13374
286	5374	13351
287	5391	13329
288	5410	13310
289	5430	13295
290	5452	13283
291	5477	13280
292	5495	13259
293	5514	13242
294	5535	13228
295	5555	13211
296	5575	13196
297	5595	13181
298	5615	13164
299	5631	13139
300	5647	13114
301	5663	13090
302	5680	13067
303	5695	13039
304	5728	13053
305	5758	13060
306	5788	13067
307	5812	13059
308	5838	13056
309	5879	13087
310	5918	13112
311	5950	13122
312	5971	13107
313	5992	13091
314	6009	13067
315	6025	13041
316	6040	13015
317	6059	12996
318	6078	12975
319	6093	12948
320	6113	12932
321	6145	12939
322	6169	12930
323	6194	12924
324	6221	12921
325	6245	12912
326	6263	12890
327	6280	12867
328	6296	12841
329	6315	12822
330	6336	12806
331	6351	12779
332	6367	12753
